categorie,partenaire,nom_commune,description,url_facebook,url_website
MODE_BIJOUX_OPTIQUE,8TH AVENUE,NOUMEA,Votre spécialiste Bagagerie Maroquinerie depuis plus de 20 ans,https://www.facebook.com/p/8th-Avenue-100057561583466/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,ALAIN AFFLELOU,NOUMEA,"Situé à la Galerie Port Plaisance, découvrez vos magasins Alain Afflelou Opticien & Acousticien.",https://www.facebook.com/afflelounoumea?locale=fr_FR,https://www.afflelou.com/opticien/nouvelle-caledonie/noumea-nouvelle-caledonie/afflelou-c-c-port-plaisance-98807
MODE_BIJOUX_OPTIQUE,AMORETTI,NOUMEA,"Bijouterie Horlogerie - Occasion, réparation et nettoyage bijoux/montres toutes marques confondues.",https://www.facebook.com/p/Amoretti-Bijouterie-Horlogerie-100057299687640/?locale=fr_FR,https://amoretti.nc/
MODE_BIJOUX_OPTIQUE,BAGAGE CALEDONIEN,NOUMEA,"Bagage Calédonien, c'est le meilleur de la maroquinerie rien que pour vous. A découvrir ou à redécouvrir",https://www.facebook.com/bagagecaledonien/?locale=fr_FR,https://www.asdetrefle.nc/default/article-de-maroquinerie.html
MODE_BIJOUX_OPTIQUE,BILLABONG,"NOUMEA,PAITA","Billabong est votre marque de vêtements, casquettes, sacs, claquettes et accessoires de plage préférée en Nouvelle-Calédonie. Pour hommes, femmes, enfants. vêtements, swimwear, néoprène, accessoires (lunettes de soleil, montres,casquette, bonnets,...), T-Shirts, débardeurs, chemises, polos, shorts, jeans, pantalons, pulls, vestes, tous les vêtements de surfwear (lycras, combinaisons), serviettes,... ",https://www.facebook.com/BillabongNouvelleCaledonie/?locale=fr_FR,https://billabong.nc/
MODE_BIJOUX_OPTIQUE,CALIFORNIA,NOUMEA,Women's clothing store,https://www.facebook.com/californianoumea,https://www.california.nc/
MODE_BIJOUX_OPTIQUE,CAMPUS,NOUMEA,"Nous sommes heureux de vous offrir le plus grand choix possible de sneakers, slides et claquettes de vos marques préférées. Nos collections sont sélectionnées avec la plus grande attention afin de vous permettre de trouver le modèle qu’il faut absolument porter ou la nouvelle basket qui vient de sortir. Une équipe passionnée de sneakers vous attends dans nos magasins Campus Anse Vata, Campus Dumbéa Mall et Campus Paita (Hyper U), pour vous aider à trouver la paire de vos rêves.",https://www.facebook.com/CampusNouvelleCaledonie,https://campus.nc/
MODE_BIJOUX_OPTIQUE,CELIO,"NOUMEA,PAITA",Men's clothing store,https://www.facebook.com/celio.noumea.nc,https://celio.nc/
MODE_BIJOUX_OPTIQUE,CENTRE OPTIQUE,NOUMEA,"Lunettes de vue, réparation lunettes NC, magasin lunettes de soleil NC, Maui Jim prix France, examen vue, tiers-payant mutuelles, lentilles contact Nouméa, lunettes en 1h",https://www.facebook.com/centreoptiquenoumea/,https://centreoptique.nc/
MODE_BIJOUX_OPTIQUE,CLARO OPTICIEN,"NOUMEA,PAITA",,,
MODE_BIJOUX_OPTIQUE,CORNER 39,NOUMEA,Shopping & retail,https://www.facebook.com/corner39/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,DIAMANTINE,KOUMAC,"Vente de prêt à porter hommes & femmes, bijoux, parfums.",https://www.facebook.com/p/Diamantine-Koumac-100063691265596/,
MODE_BIJOUX_OPTIQUE,ERAM,NOUMEA,"De l’homme à la femme en passant par l'enfant, vous trouverez forcément chaussures à vos pieds !",https://www.facebook.com/EramNoumea/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,EROTIK NC,NOUMEA,,https://www.facebook.com/ero.boutik/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,GÉANT,"NOUMEA,DUMBEA",hypermarchés Géant et Supermarchés Casino !,https://www.facebook.com/@GeantCasino.NC/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,GEMO CHAUSSURES,NOUMEA,"magasins sur Nouméa, des vêtements et des chaussures pour toute la famille !",,https://www.gemo.nc/
MODE_BIJOUX_OPTIQUE,GEMO VETEMENTS,NOUMEA,"magasins sur Nouméa, des vêtements et des chaussures pour toute la famille !",,https://www.gemo.nc/
MODE_BIJOUX_OPTIQUE,GRAND RÉCIF,"NOUMEA,PAITA",Prêt à porter et Accessoires de Mode,https://www.facebook.com/p/Grand-R%C3%A9cif-100087749984041/,
MODE_BIJOUX_OPTIQUE,HERITAGE KANAK,NOUMEA,,https://www.facebook.com/HKsince2014/,
MODE_BIJOUX_OPTIQUE,HYPE,NOUMEA,"Concept store, mode, accessoires, bijoux, décoration, cadeaux",https://www.facebook.com/p/HYPE-La-Promenade-100063472467172/,
MODE_BIJOUX_OPTIQUE,HYPER CORNER,NOUMEA,"Boutique de prêt à porter sur Nouméa, hommes et femmes. Costumes pour homme de ,MARIAGE ET AUTRES",https://www.facebook.com/Hype.Corner/,
MODE_BIJOUX_OPTIQUE,IRIATAI,NOUMEA,IRIATAI qui signifie « horizon » est une marque de bijouterie joaillerie créée dans le but de partager la diversité artistique de l’Océanie. Nos créations en or et argent sont ornées de pierres fines et locales entièrement fabriquées main.,https://www.facebook.com/IriataiNC/,
MODE_BIJOUX_OPTIQUE,KING SPORTS,DUMBEA,"Le king du sportswear. Nike, Adidas, Puma, Asics, Salomon. Magasin King Sports à Dumbéa Mall en Nouvelle-Calédonie, vêtements, chaussures, casquettes, sacs, ...",https://www.facebook.com/profile.php?id=100093381836089,
MODE_BIJOUX_OPTIQUE,KOOKAI,NOUMEA,Chaque pièce KOOKAI est conçue dans nos studios de création de Paris et Melbourne.,https://www.facebook.com/kookainoumea/,
MODE_BIJOUX_OPTIQUE,LA LUNETTERIE DES COCOTIERS,NOUMEA,,https://www.facebook.com/lalunetteriedescocotiers/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,LA MAISON DE LA PERLE,NOUMEA,N°1 de la perle en Nouvelle-Calédonie. Magasins et Atelier,https://www.facebook.com/MaisonDeLaPerleNoumea/,
MODE_BIJOUX_OPTIQUE,LE STORE,NOUMEA,"🛍 Boutiques de prêt-à-porter et accessoires pour homme et femme. 🏷 Marques disponibles : Oxbow, Desigual, Adopt, Le Temps Des Cerises, Hype, Deeluxe.",https://www.facebook.com/lestorenoumea/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,LES MARQUES CALEDONIENNES,NOUMEA, votre concept store calédonien ,https://www.facebook.com/marquescaledoniennes/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,LILI BLUE,NOUMEA,Vêtements et Accessoires pour tous les budgets .,https://www.facebook.com/lilibluenoumea/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,LONGITUDE,NOUMEA,,,
MODE_BIJOUX_OPTIQUE,MANGO,NOUMEA,"Unique, moderne et féminine, la femme MANGO insuffle toujours un twist trendy dans sa garde-robe.",https://www.facebook.com/MangoNoumea/,
MODE_BIJOUX_OPTIQUE,MATIRA CREATION,NOUMEA,Jewelry/watches,https://www.facebook.com/matiranoumea/,
MODE_BIJOUX_OPTIQUE,NOUNE CREA,NOUMEA,"Accessoires et bijoux artisanaux à base de fil d'aluminium. Créations pour toutes occasions : Mariages, baptêmes, soirées à thèmes ..",https://www.facebook.com/NouneCrea/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,OHLALA !,NOUMEA,"ce loveshop est le premier ouvert sur le territoire en 1997, spécialisé dans le plaisir et le bien-être.",,https://ohlala.nc/index.php
MODE_BIJOUX_OPTIQUE,PERLERIE DU PACIQIUE,NOUMEA,"Création de bijoux en or et en argent, ventes de perles de Tahiti (certificat d’authenticité),",https://www.facebook.com/perleriedupacifique/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,PETITE PIERRE,NOUMEA,"Un Bijou, une Histoire, un Lien ... Le reflet de vous-même, au fil de vos envies. Créations uniques",https://www.facebook.com/petitepierredesign/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,PLANET FASHION,"NOUMEA,KONE","Situé dans la galerie du Centre Commercial Téari à Koné, Planet Fashion vous propose des articles de mode, des vêtements fashion et des chaussures !",https://www.facebook.com/p/Planet-Fashion-100057233899060/,
MODE_BIJOUX_OPTIQUE,PROMOD,"NOUMEA,DUMBEA","Promod, mode & vêtements femme cool chic, à retrouver en boutique",https://www.facebook.com/PromodNouvelleCaledonie/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,REFLEX,NOUMEA,🛍️Boutique de Prêt à Porter et Accessoires de Mode 🛍️ 🌺,https://www.facebook.com/p/Reflex-Noumea-100057670110318/,
MODE_BIJOUX_OPTIQUE,SAN DIEGO,NOUMEA,,https://www.facebook.com/p/Fox-San-diego-100032373896999/,
MODE_BIJOUX_OPTIQUE,SHAMBHALA,"NOUMEA,PAITA","Vêtements Femmes/Hommes, Robes traditionnelles océaniennes, Bijoux et accessoires de mode",https://www.facebook.com/Shambhala.NC/,
MODE_BIJOUX_OPTIQUE,SOHO BY CALIFORNIA,NOUMEA,Women's clothing store,https://www.facebook.com/californianoumea,
MODE_BIJOUX_OPTIQUE,STOP AFFAIRES,KONE,Le magasin du Nord pour toute la famille ! Découvrez des produits La Halle et la Foir'fouille à Koné,https://www.facebook.com/stopaffaires.nc/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,SUN AND THE CITY,NOUMEA,Prêt à porter feminin. Nouvelle collection tous les 15 jours.,https://www.facebook.com/sunandthecitync/,
MODE_BIJOUX_OPTIQUE,UNIVERSAL STORE,KONE,"La boutique incontournable de Koné pour habiller les hommes les femmes et les enfants. Retrouvez les marques Kaporal, Pépé Jeans, Desigual, Cars ...",https://www.facebook.com/universalstorekone/,
MODE_BIJOUX_OPTIQUE,UTOPIA,NOUMEA,UTOPIA propose une grande variété de sandales composant un univers coloré qui lui est propre.,https://www.facebook.com/p/Utopia-Noum%C3%A9a-100077563869378/?locale=fr_FR,
MODE_BIJOUX_OPTIQUE,VOYAGE TROPICAL,NOUMEA,"Vêtements homme, femme, enfant — accessoires — linge de maison",https://www.facebook.com/voyagetropical/?locale=fr_FR,
SPORT_LOISIRS_AUTO,AVENTURE MARINE,NOUMEA,Croisières sur mesure ou à la cabine. Sorties journée. Sorties baleines. Soirées. Location de catamaran,https://www.facebook.com/aventuremarine.nc/,
SPORT_LOISIRS_AUTO,BLUECALEDONIA DIVING,NOUMEA,"Bienvenue au nouveau centre de plongée Blue Caledonia Diving, basé au Phare Amédée",https://www.facebook.com/BlueCaledoniaDiving/,
SPORT_LOISIRS_AUTO,CALEDONIE CHARTER NC (BALEINE),NOUMEA,Partez à la rencontre des baleines de mi juillet a mi septembre.,https://www.facebook.com/sortiesbaleine/?locale=fr_FR,
SPORT_LOISIRS_AUTO,CHRONO 64,NOUMEA,8 auto-écoles pour 1 seul abonnement,https://www.facebook.com/chrono64nouvellecaledonie/?locale=fr_FR,
SPORT_LOISIRS_AUTO,CHRONO PNEU,NOUMEA,,,
SPORT_LOISIRS_AUTO,DECATHLON,"NOUMEA,DUMBEA",DECATHLON NOUVELLE-CALÉDONIE,https://www.facebook.com/decathlon.nouvelle.caledonie/?locale=fr_FR,
SPORT_LOISIRS_AUTO,EXCLUSIV GOLF DEVA,BOURAIL,"Parcours de golf parfaitement intégré dans la nature environnante entre montagne, forêt sèche et lagon",https://www.facebook.com/p/Exclusiv-Golf-Deva-100029105156358/?locale=fr_FR,
SPORT_LOISIRS_AUTO,GARDEN GOLF DE DUMBEA,DUMBEA,APPRENDRE ET JOUER AU GOLF A DUMBEA,https://www.facebook.com/gardengolfdedumbea/?locale=fr_FR,
SPORT_LOISIRS_AUTO,KITESURF ATTITUDE,NOUMEA,"Ecole de Kitesurf et Wingfoil, Kite bus, shop pour windsirf, wakeboard, paddle, accessoires lifestyle : board shorts, T-Shirt, Sweat, maillot de bain, casquette, poncho,...",https://www.facebook.com/EcoleKitesurfAttitude/?locale=fr_FR,https://kitesurfnoumea.nc/
